record_id,date,tide,time,location,count_1,count_2,count_3,mean_count,in_daily_total_yn,raw_datafile
33,21-Apr-00,dropping,9:30,jetty side,3500,,,3500,TRUE,BPPEEP00.xls
34,21-Apr-00,dropping,9:30,before marsh,650,,,650,TRUE,BPPEEP00.xls
35,21-Apr-00,dropping,9:35,"""mumblies""",6600,,,6600,TRUE,BPPEEP00.xls
36,21-Apr-00,dropping,9:45,pilings,400,,,400,TRUE,BPPEEP00.xls
37,21-Apr-00,dropping,9:50,bend edge,0,,,0,TRUE,BPPEEP00.xls
38,21-Apr-00,dropping,10:00,Bruns.corner,29900,,,29900,TRUE,BPPEEP00.xls
39,21-Apr-00,,,TOTAL,,,,55350,total,BPPEEP00.xls
40,22-Apr-00,dropping,9:10,WNW Brun.Corner,12000,15000,,13500,FALSE,BPPEEP00.xls
41,22-Apr-00,dropping,9:20,Bruns.corner,2000,,,2000,FALSE,BPPEEP00.xls
42,22-Apr-00,dropping,9:32,C.Port corner,1400,,,1400,FALSE,BPPEEP00.xls
43,22-Apr-00,dropping,9:32,jetty side,13000,,,13000,FALSE,BPPEEP00.xls
44,22-Apr-00,,,1st TOTAL,,,,29900,total,BPPEEP00.xls
45,22-Apr-00,dropping,10:00,C. corner&jettyside,25800,,,25800,TRUE,BPPEEP00.xls
46,22-Apr-00,dropping,10:05,before marsh,200,,,200,TRUE,BPPEEP00.xls
47,22-Apr-00,dropping,10:10,"""mumblies""",5600,,,5600,TRUE,BPPEEP00.xls
48,22-Apr-00,dropping,10:10,pilings,0,,,0,TRUE,BPPEEP00.xls
49,22-Apr-00,dropping,10:10,bend edge,0,,,0,TRUE,BPPEEP00.xls
50,22-Apr-00,dropping,10:15,Bruns.corner,28000,26000,26000,26700,TRUE,BPPEEP00.xls
51,22-Apr-00,,,TOTAL,,,,58300,total,BPPEEP00.xls
52,23-Apr-00,,,,,,,,no survey,BPPEEP00.xls
53,24-Apr-00,dropping,9:30,TOTAL,200000,,,200000,only total,BPPEEP00.xls
54,25-Apr-00,high,9:05,Bruns.corner,5000,,,5000,FALSE,BPPEEP00.xls
55,25-Apr-00,high-dropping,9:15,mudislet,9500,,,9500,FALSE,BPPEEP00.xls
56,25-Apr-00,high-dropping,9:20,bend edge,6500,,,6500,FALSE,BPPEEP00.xls
57,25-Apr-00,high-dropping,9:25,pilings,900,,,900,FALSE,BPPEEP00.xls
58,25-Apr-00,high-dropping,9:30,"""mumblies""",2500,,,2500,FALSE,BPPEEP00.xls
59,25-Apr-00,high-dropping,9:35,before marsh,800,,,800,FALSE,BPPEEP00.xls
60,25-Apr-00,high-dropping,9:40,C.Port corner,45000,50000,,47500,FALSE,BPPEEP00.xls
61,25-Apr-00,high-dropping,9:40,jetty side,3000,3000,,3000,FALSE,BPPEEP00.xls
62,25-Apr-00,,,1st TOTAL,,,,75700,total,BPPEEP00.xls
63,25-Apr-00,dropping,9:45,C.Port corner,40000,45000,,42500,TRUE,BPPEEP00.xls
64,25-Apr-00,dropping,9:45,jetty side,4500,,,4500,TRUE,BPPEEP00.xls
65,25-Apr-00,dropping,9:55,before marsh,700,,,700,TRUE,BPPEEP00.xls
66,25-Apr-00,dropping,10:10,"""mumblies""",18000,19000,,18500,TRUE,BPPEEP00.xls
67,25-Apr-00,dropping,10:25,pilings,3350,,,3350,TRUE,BPPEEP00.xls
68,25-Apr-00,dropping,10:35,Bruns.corner,35000,36000,40000,37000,TRUE,BPPEEP00.xls
69,25-Apr-00,,,2nd TOTAL,,,,106550,total,BPPEEP00.xls
70,26-Apr-00,high,10:00,C.Port corner,6000,,,6000,TRUE,BPPEEP00.xls
71,26-Apr-00,high,10:05,jetty side,500,,,500,TRUE,BPPEEP00.xls
72,26-Apr-00,high,10:10,"S. end ""mumblies""",6500,,,6500,TRUE,BPPEEP00.xls
73,26-Apr-00,high,10:15,"outer ""mumblies""",2400,,,2400,TRUE,BPPEEP00.xls
74,26-Apr-00,high,10:20,pilings to Bruns,88150,,,88150,TRUE,BPPEEP00.xls
75,26-Apr-00,,,TOTAL,,,,103550,total,BPPEEP00.xls
76,27-Apr-00,high,11:26,jetty side,6500,,,6500,TRUE,BPPEEP00.xls
77,27-Apr-00,high,12:00,C.Port to Bruns,119850,119850,,119850,TRUE,BPPEEP00.xls
78,27-Apr-00,,,TOTAL,,,,126350,total,BPPEEP00.xls
79,28-Apr-00,high,13:30,jetty side,2800,,,2800,TRUE,BPPEEP00.xls
80,28-Apr-00,dropping,14:40,C.Port to Bruns,109650,107100,,108375,TRUE,BPPEEP00.xls
81,28-Apr-00,,,TOTAL,,,,111175,total,BPPEEP00.xls
82,29-Apr-00,high,15:04,C.Port corner,8300,8500,,8400,FALSE,BPPEEP00.xls
83,29-Apr-00,high,15:15,jetty side,0,,,0,FALSE,BPPEEP00.xls
84,29-Apr-00,high-dropping,15:30,pilings,0,,,0,FALSE,BPPEEP00.xls
85,29-Apr-00,high-dropping,15:30,Bruns.corner,65000,,,65000,FALSE,BPPEEP00.xls
86,29-Apr-00,,,1st TOTAL,,,,73400,total,BPPEEP00.xls
87,29-Apr-00,dropping,15:45,C.Port corner,1500,,,1500,TRUE,BPPEEP00.xls
88,29-Apr-00,dropping,15:45,Bruns.corner,73000,,,73000,TRUE,BPPEEP00.xls
89,29-Apr-00,,,2nd TOTAL,,,,74500,total,BPPEEP00.xls
90,30-Apr-00,,,,,,,,no survey,BPPEEP00.xls
91,1-May-00,rising,15:30,C.Port corner,1750,,,1750,TRUE,BPPEEP00.xls
92,1-May-00,rising,15:30,jetty side,0,,,0,TRUE,BPPEEP00.xls
93,1-May-00,rising,15:30,before marsh,2200,,,2200,TRUE,BPPEEP00.xls
94,1-May-00,rising,15:35,"""mumblies""",5200,,,5200,TRUE,BPPEEP00.xls
95,1-May-00,rising,15:40,pilings,2000,,,2000,TRUE,BPPEEP00.xls
96,1-May-00,rising,15:40,flying,4000,,,4000,TRUE,BPPEEP00.xls
97,1-May-00,rising,15:45,Bruns.corner,70000,90000,,80000,TRUE,BPPEEP00.xls
98,1-May-00,,,1st TOTAL,,,,95150,total,BPPEEP00.xls
99,1-May-00,high,17:00,C.Port corner,0,,,0,FALSE,BPPEEP00.xls
100,1-May-00,high,17:00,jetty side,0,,,0,FALSE,BPPEEP00.xls
101,1-May-00,high,17:00,before marsh,0,,,0,FALSE,BPPEEP00.xls
102,1-May-00,high,17:00,"""mumblies""",0,,,0,FALSE,BPPEEP00.xls
103,1-May-00,high,17:00,pilings,0,,,0,FALSE,BPPEEP00.xls
104,1-May-00,high,17:00,Bruns.corner,60000,51500,,55750,FALSE,BPPEEP00.xls
105,1-May-00,,,2nd TOTAL,,,,55750,total,BPPEEP00.xls
106,2-May-00,rising-high,17:10,C.Port corner,3000,,,3000,TRUE,BPPEEP00.xls
107,2-May-00,rising-high,17:10,jetty side,,,,,TRUE,BPPEEP00.xls
108,2-May-00,rising-high,17:25,Bruns.corner,9000,,,9000,TRUE,BPPEEP00.xls
109,2-May-00,,,TOTAL,,,,12000,total,BPPEEP00.xls
110,3-May-00,rising,16:35,Bruns.corner,20000,25000,,22500,TRUE,BPPEEP00.xls
111,3-May-00,rising,16:35,bend edge,150,,,150,TRUE,BPPEEP00.xls
112,3-May-00,rising,16:56,C.Port corner,0,,,0,TRUE,BPPEEP00.xls
113,3-May-00,rising,16:56,jetty side,0,,,0,TRUE,BPPEEP00.xls
114,3-May-00,,,TOTAL,,,,22650,total,BPPEEP00.xls
115,4-May-00,,,,,,,,no survey,BPPEEP00.xls
116,5-May-00,dropping,9:40,C.Port corner,0,,,0,TRUE,BPPEEP00.xls
117,5-May-00,dropping,9:40,jetty side,2500,,,2500,TRUE,BPPEEP00.xls
118,5-May-00,dropping,9:45,pilings,0,,,0,TRUE,BPPEEP00.xls
119,5-May-00,dropping,9:55,Bruns.corner,6000,7000,,6500,TRUE,BPPEEP00.xls
120,5-May-00,,,1st TOTAL,,,,9000,total,BPPEEP00.xls
121,5-May-00,rising,17:30,Bruns.corner,8000,,,8000,FALSE,BPPEEP00.xls
122,5-May-00,rising,17:40,C.Port corner,0,,,0,FALSE,BPPEEP00.xls
123,5-May-00,rising,17:40,jetty side,0,,,0,FALSE,BPPEEP00.xls
124,5-May-00,,,2nd TOTAL,,,,8000,total,BPPEEP00.xls
125,6-May-00,dropping,8:42,Bruns.corner,1500,,,1500,FALSE,BPPEEP00.xls
126,6-May-00,dropping,8:42,bend edge,2000,,,2000,FALSE,BPPEEP00.xls
127,6-May-00,,,1st TOTAL,,,,3500,total,BPPEEP00.xls
128,6-May-00,dropping,9:00,C.Port corner,5000,4500,,4750,TRUE,BPPEEP00.xls
129,6-May-00,dropping,9:00,jetty side,1500,,,1500,TRUE,BPPEEP00.xls
130,6-May-00,dropping,9:10,before marsh,800,,,800,TRUE,BPPEEP00.xls
131,6-May-00,dropping,9:15,pilings,0,,,0,TRUE,BPPEEP00.xls
132,6-May-00,dropping,9:20,bend edge,1200,,,1200,TRUE,BPPEEP00.xls
133,6-May-00,dropping,9:25,Bruns.corner,4200,5900,5400,5650,TRUE,BPPEEP00.xls
134,6-May-00,,,2nd TOTAL,,,,13900,total,BPPEEP00.xls
135,17-Apr-01,slack,13:55,C.Port corner,0,,,0,TRUE,BPPEEP01.xls
136,17-Apr-01,dropping,,jetty side,0,,,0,TRUE,BPPEEP01.xls
137,17-Apr-01,dropping,,pilings,0,,,0,TRUE,BPPEEP01.xls
138,17-Apr-01,dropping,,bend edge,0,,,0,TRUE,BPPEEP01.xls
139,17-Apr-01,dropping,14:20,Bruns.corner,30,,,30,TRUE,BPPEEP01.xls
140,17-Apr-01,,,TOTAL,,,,30,total,BPPEEP01.xls
141,18-Apr-01,high,15:10,Bruns.corner,0,,,0,TRUE,BPPEEP01.xls
142,18-Apr-01,dropping,15:12,pilings,0,,,0,TRUE,BPPEEP01.xls
143,18-Apr-01,dropping,15:15,C.Port corner,0,,,0,TRUE,BPPEEP01.xls
144,18-Apr-01,dropping,15:18,jetty side,0,,,0,TRUE,BPPEEP01.xls
145,18-Apr-01,dropping,,pilings,0,,,0,TRUE,BPPEEP01.xls
146,18-Apr-01,dropping,,bend edge,0,,,0,TRUE,BPPEEP01.xls
147,18-Apr-01,dropping,15:35,Bruns.corner,0,,,0,TRUE,BPPEEP01.xls
148,18-Apr-01,dropping,15:18,WNW side Bruns,30000,35000,,32500,TRUE,BPPEEP01.xls
149,18-Apr-01,,,TOTAL,,,,32500,total,BPPEEP01.xls
150,19-Apr-01,rising,15:45,WNW side Bruns,25000,30000,,27500,TRUE,BPPEEP01.xls
151,19-Apr-01,high,16:00,C.Port corner,0,,,0,TRUE,BPPEEP01.xls
152,19-Apr-01,high,16:00,jetty side,0,,,0,TRUE,BPPEEP01.xls
153,19-Apr-01,dropping,16:15,pilings,1500,,,1500,TRUE,BPPEEP01.xls
154,19-Apr-01,dropping,16:20,bend edge,520,650,,600,TRUE,BPPEEP01.xls
155,19-Apr-01,dropping,16:35,Bruns.corner,3500,2900,4000,3500,TRUE,BPPEEP01.xls
156,19-Apr-01,,,TOTAL,,,,33100,total,BPPEEP01.xls
157,20-Apr-01,dropping,18:00,C.Port corner,0,,,0,TRUE,BPPEEP01.xls
158,20-Apr-01,dropping,18:00,jetty side,0,,,0,TRUE,BPPEEP01.xls
159,20-Apr-01,dropping,18:15,pilings (east),7200,,,7200,TRUE,BPPEEP01.xls
160,20-Apr-01,dropping,18:20,pilings,2400,2500,,2450,TRUE,BPPEEP01.xls
161,20-Apr-01,dropping,18:25,pilings (west),4600,5700,,5150,TRUE,BPPEEP01.xls
162,20-Apr-01,dropping,18:25,bend edge,0,,,0,TRUE,BPPEEP01.xls
163,20-Apr-01,dropping,18:25,Bruns.corner,0,,,0,TRUE,BPPEEP01.xls
164,20-Apr-01,,,TOTAL,,,,14800,total,BPPEEP01.xls
165,21-Apr-01,,,,,,,,no survey,BPPEEP01.xls
166,22-Apr-01,,,,,,,,no survey,BPPEEP01.xls
167,23-Apr-01,rising,17:20,mudflat,20000,,,,FALSE,BPPEEP01.xls
168,23-Apr-01,rising,17:25,C.Port corner,8000,10000,,9000,TRUE,BPPEEP01.xls
169,23-Apr-01,rising,17:25,,4000,,,4000,TRUE,BPPEEP01.xls
170,23-Apr-01,rising,,jetty side,0,,,0,TRUE,BPPEEP01.xls
171,23-Apr-01,rising,,pilings,0,,,0,TRUE,BPPEEP01.xls
172,23-Apr-01,rising,,pilings (west),12500,,,12500,TRUE,BPPEEP01.xls
173,23-Apr-01,rising,,bend edge,8500,9000,,8750,TRUE,BPPEEP01.xls
174,23-Apr-01,rising,17:45,Bruns.corner,11000,10000,,10500,TRUE,BPPEEP01.xls
175,23-Apr-01,rising,17:50,WNW side Bruns,28000,,,28000,TRUE,BPPEEP01.xls
176,23-Apr-01,,,TOTAL,,,,72750,total,BPPEEP01.xls
177,24-Apr-01,rising,17:30,pilings,26500,,,26500,FALSE,BPPEEP01.xls
178,24-Apr-01,rising,17:30,pilings,7000,9500,,8250,FALSE,BPPEEP01.xls
179,24-Apr-01,rising,17:30,pilings,3000,,,3000,FALSE,BPPEEP01.xls
180,24-Apr-01,rising,17:52,C.Port corner,0,,,0,TRUE,BPPEEP01.xls
181,24-Apr-01,rising,17:52,jetty side,0,,,0,TRUE,BPPEEP01.xls
182,24-Apr-01,rising,18:00,pilings (east),14500,,,14500,TRUE,BPPEEP01.xls
183,24-Apr-01,rising,18:00,pilings (east),7000,,,7000,TRUE,BPPEEP01.xls
184,24-Apr-01,rising,18:00,pilings,3000,,,3000,TRUE,BPPEEP01.xls
185,24-Apr-01,rising,18:15,Bruns.corner,35000,36000,,35500,TRUE,BPPEEP01.xls
186,24-Apr-01,rising,18:15,WNW side Bruns,13000,16000,,14500,TRUE,BPPEEP01.xls
187,24-Apr-01,,,TOTAL,,,,74500,total,BPPEEP01.xls
188,25-Apr-01,dropping,7:43,WNW side Bruns,9000,10000,,9500,FALSE,BPPEEP01.xls
189,25-Apr-01,dropping,7:51,Bruns.corner,11000,,,11000,FALSE,BPPEEP01.xls
190,25-Apr-01,dropping,7:51,Bruns.corner,500,,,500,FALSE,BPPEEP01.xls
191,25-Apr-01,dropping,8:11,C.Port corner,12500,,,12500,FALSE,BPPEEP01.xls
192,25-Apr-01,dropping,8:11,jetty side,19000,,,19000,FALSE,BPPEEP01.xls
193,25-Apr-01,dropping,8:25,jetty side,4500,5000,,4750,FALSE,BPPEEP01.xls
194,25-Apr-01,dropping,8:25,C.Port corner,22600,24600,,23600,FALSE,BPPEEP01.xls
195,25-Apr-01,dropping,,before pilings,800,,,800,FALSE,BPPEEP01.xls
196,25-Apr-01,dropping,,pilings,3000,,,3000,FALSE,BPPEEP01.xls
197,25-Apr-01,dropping,,pilings,900,,,900,FALSE,BPPEEP01.xls
198,25-Apr-01,dropping,,mumblies,3700,,,3700,FALSE,BPPEEP01.xls
199,25-Apr-01,dropping,,mumblies,1500,,,1500,FALSE,BPPEEP01.xls
200,25-Apr-01,dropping,,bend edge,1300,,,1300,FALSE,BPPEEP01.xls
201,25-Apr-01,dropping,8:45,Bruns.corner,22000,27000,,24500,FALSE,BPPEEP01.xls
202,25-Apr-01,dropping,9:00,WNW side Bruns,6000,8000,,7000,FALSE,BPPEEP01.xls
203,25-Apr-01,,,morning TOTAL,,,,71050,total,BPPEEP01.xls
204,25-Apr-01,rising,17:25,WNW side Bruns,0,,,0,FALSE,BPPEEP01.xls
205,25-Apr-01,rising,18:00,Bruns. point,55000,75000,,65000,FALSE,BPPEEP01.xls
206,25-Apr-01,rising,18:00,Bruns.corner,3800,,,3800,FALSE,BPPEEP01.xls
207,25-Apr-01,rising,18:30,jetty side,0,,,0,TRUE,BPPEEP01.xls
208,25-Apr-01,rising,18:30,C.Port corner,0,,,0,TRUE,BPPEEP01.xls
209,25-Apr-01,rising,18:35,pilings (east end),11500,12000,,11750,TRUE,BPPEEP01.xls
210,25-Apr-01,rising,18:40,pilings (west end),0,,,0,TRUE,BPPEEP01.xls
211,25-Apr-01,rising,18:40,bend edge,0,,,0,TRUE,BPPEEP01.xls
212,25-Apr-01,rising,18:43,Bruns.corner,65000,75000,,70000,TRUE,BPPEEP01.xls
213,25-Apr-01,,,TOTAL,,,,81750,total,BPPEEP01.xls
214,26-Apr-01,dropping,7:48,WNW side Bruns,35000,25000,,30000,FALSE,BPPEEP01.xls
215,26-Apr-01,dropping,8:19,jetty side,12000,,,12000,FALSE,BPPEEP01.xls
216,26-Apr-01,dropping,8:51,"CP corner, jetty",24500,29500,,27000,TRUE,BPPEEP01.xls
217,26-Apr-01,dropping,9:00,pilings (east end),0,,,0,TRUE,BPPEEP01.xls
218,26-Apr-01,dropping,9:03,pilings (west end),700,,,700,TRUE,BPPEEP01.xls
219,26-Apr-01,dropping,9:06,mumblies (west),1500,,,1500,TRUE,BPPEEP01.xls
220,26-Apr-01,dropping,9:08,Bruns.corner,29000,25000,,27000,TRUE,BPPEEP01.xls
221,26-Apr-01,dropping,9:10,WNW side Bruns,3000,,,3000,TRUE,BPPEEP01.xls
222,26-Apr-01,,,TOTAL,,,,59200,total,BPPEEP01.xls
223,27-Apr-01,dropping,8:30,WNW side Bruns,16000,15000,,15500,FALSE,BPPEEP01.xls
224,27-Apr-01,dropping,8:50,Bruns.corner,4000,,,4000,FALSE,BPPEEP01.xls
225,27-Apr-01,dropping,9:05,"CP corner, jetty",66000,75000,,70500,FALSE,BPPEEP01.xls
226,27-Apr-01,dropping,9:15,"CP corner, jetty",90000,77000,,83500,TRUE,BPPEEP01.xls
227,27-Apr-01,dropping,9:32,pilings,500,,,500,TRUE,BPPEEP01.xls
228,27-Apr-01,dropping,9:43,pilings (west end),4100,,,4100,TRUE,BPPEEP01.xls
229,27-Apr-01,dropping,9:45,Bruns.corner,12500,16000,,14250,TRUE,BPPEEP01.xls
230,27-Apr-01,,,TOTAL,,,,102350,total,BPPEEP01.xls
231,28-Apr-01,dropping,8:55,WNW side Bruns,0,,,0,FALSE,BPPEEP01.xls
232,28-Apr-01,dropping,8:55,Bruns.Point tip,20000,,,20000,FALSE,BPPEEP01.xls
233,28-Apr-01,dropping,9:00,Bruns.corner,7000,,,7000,FALSE,BPPEEP01.xls
234,28-Apr-01,dropping,9:12,pilings (west end),700,,,700,FALSE,BPPEEP01.xls
235,28-Apr-01,dropping,9:12,pilings,3000,,,3000,FALSE,BPPEEP01.xls
236,28-Apr-01,dropping,9:48,"CP corner, jetty",41000,40000,45000,42000,TRUE,BPPEEP01.xls
237,28-Apr-01,dropping,10:10,pilings,2600,2800,,2700,TRUE,BPPEEP01.xls
238,28-Apr-01,dropping,10:12,pilings,3000,,,3000,TRUE,BPPEEP01.xls
239,28-Apr-01,dropping,10:13,pilings (west end),1000,,,1000,TRUE,BPPEEP01.xls
240,28-Apr-01,dropping,10:20,Bruns.corner,30000,25000,28000,28000,TRUE,BPPEEP01.xls
241,28-Apr-01,dropping,10:25,WNW side Bruns,5000,,,5000,TRUE,BPPEEP01.xls
242,28-Apr-01,dropping,10:30,flying from fields,10000,,,10000,TRUE,BPPEEP01.xls
243,28-Apr-01,,,TOTAL,,,,91700,total,BPPEEP01.xls
244,29-Apr-01,high,9:17,WNW side Bruns,8000,18000,,13000,FALSE,BPPEEP01.xls
245,29-Apr-01,high,9:25,Bruns.corner,3000,,,3000,FALSE,BPPEEP01.xls
246,29-Apr-01,dropping,10:44,"CP corner, jetty",50000,41000,,45500,FALSE,BPPEEP01.xls
247,29-Apr-01,dropping,10:45,pilings(east end),300,,,300,FALSE,BPPEEP01.xls
248,29-Apr-01,dropping,10:55,Bruns.corner,0,,,0,FALSE,BPPEEP01.xls
249,29-Apr-01,dropping,11:10,"CP corner, jetty",56000,,,56000,TRUE,BPPEEP01.xls
250,29-Apr-01,dropping,11:12,pilings (east end),0,,,0,TRUE,BPPEEP01.xls
251,29-Apr-01,dropping,11:12,pilings (west end),0,,,0,TRUE,BPPEEP01.xls
252,29-Apr-01,dropping,11:12,mumblies (west),0,,,0,TRUE,BPPEEP01.xls
253,29-Apr-01,dropping,11:15,Bruns.corner,5000,,,5000,TRUE,BPPEEP01.xls
254,29-Apr-01,high,9:17,WNW side Bruns,8000,18000,,13000,TRUE,BPPEEP01.xls
255,29-Apr-01,,,TOTAL,,,,74000,total,BPPEEP01.xls
256,30-Apr-01,rising,9:28,Bruns.corner,4000,6000,,5000,TRUE,BPPEEP01.xls
257,30-Apr-01,rising,9:40,pilings (west end),0,,,0,TRUE,BPPEEP01.xls
258,30-Apr-01,rising,9:40,pilings (east end),0,,,0,TRUE,BPPEEP01.xls
259,30-Apr-01,rising,9:50,C.Port corner,0,,,0,TRUE,BPPEEP01.xls
260,30-Apr-01,rising,9:50,jetty side,25000,,,25000,FALSE,BPPEEP01.xls
261,30-Apr-01,high,10:15,"CP corner, jetty",32400,,,32400,TRUE,BPPEEP01.xls
262,30-Apr-01,,,TOTAL,,,,37400,total,BPPEEP01.xls
263,1-May-01,rising,11:10,Bruns.corner,54000,66000,,60000,TRUE,BPPEEP01.xls
264,1-May-01,rising,11:20,pilings (west end),650,,,650,TRUE,BPPEEP01.xls
265,1-May-01,rising,11:20,pilings,1250,,,1250,TRUE,BPPEEP01.xls
266,1-May-01,rising,11:25,pilings (east end),250,,,250,TRUE,BPPEEP01.xls
267,1-May-01,rising,11:35,"CP corner, jetty",5900,7300,,6600,TRUE,BPPEEP01.xls
268,1-May-01,high,11:45,C.Port corner,0,,,0,FALSE,BPPEEP01.xls
269,1-May-01,high,11:45,jetty side,2500,,,2500,FALSE,BPPEEP01.xls
270,1-May-01,high,11:50,mumblies,18000,,,18000,FALSE,BPPEEP01.xls
271,1-May-01,high,11:50,pilings (east end),3500,,,3500,FALSE,BPPEEP01.xls
272,1-May-01,high,11:55,mid-mumblies,2000,,,2000,FALSE,BPPEEP01.xls
273,1-May-01,high,12:00,pilings (west end),1400,,,1400,FALSE,BPPEEP01.xls
274,1-May-01,high,12:08,Bruns.corner,40000,41000,,40500,FALSE,BPPEEP01.xls
275,1-May-01,,,TOTAL,,,,68750,total,BPPEEP01.xls
276,2-May-01,rising,12:55,Bruns.corner,5500,,,5500,TRUE,BPPEEP01.xls
277,2-May-01,rising,13:00,water edge,2000,,,2000,TRUE,BPPEEP01.xls
278,2-May-01,rising,13:00,mumblies,14000,,,14000,TRUE,BPPEEP01.xls
279,2-May-01,rising,13:00,flying west,400,,,400,TRUE,BPPEEP01.xls
280,2-May-01,rising,13:01,flying west,50,,,50,TRUE,BPPEEP01.xls
281,2-May-01,high,13:20,C.Port corner,0,,,0,TRUE,BPPEEP01.xls
282,2-May-01,high,13:33,jetty side flying,230,,,230,TRUE,BPPEEP01.xls
283,2-May-01,high,13:45,C.Port corner,0,,,0,FALSE,BPPEEP01.xls
284,2-May-01,high,13:45,jetty side,0,,,0,FALSE,BPPEEP01.xls
285,2-May-01,dropping,13:50,pilings (east end),0,,,0,FALSE,BPPEEP01.xls
286,2-May-01,dropping,13:50,pilings (west end),0,,,0,FALSE,BPPEEP01.xls
287,2-May-01,dropping,13:58,mumblies(outer),6200,7400,,6800,FALSE,BPPEEP01.xls
288,2-May-01,dropping,14:00,Bruns.corner,6000,,,6000,FALSE,BPPEEP01.xls
289,2-May-01,dropping,14:15,WNW side Bruns,100,,,100,FALSE,BPPEEP01.xls
290,2-May-01,,,TOTAL,,,,22180,total,BPPEEP01.xls
291,3-May-01,rising,14:50,WNW side Bruns,10000,,,10000,TRUE,BPPEEP01.xls
292,3-May-01,high,15:00,Bruns.corner,2000,,,2000,FALSE,BPPEEP01.xls
293,3-May-01,high,15:05,pilings,8500,,,8500,FALSE,BPPEEP01.xls
294,3-May-01,high,15:05,mumblies(outer),2600,,,2600,FALSE,BPPEEP01.xls
295,3-May-01,high,15:10,C.Port corner,18000,,,18000,FALSE,BPPEEP01.xls
296,3-May-01,high,15:22,C.Port corner,7900,,,7900,TRUE,BPPEEP01.xls
297,3-May-01,dropping,15:55,mumblies(outer),7500,8000,,7750,TRUE,BPPEEP01.xls
298,3-May-01,dropping,15:55,Bruns.outer edge,6400,6800,,6600,TRUE,BPPEEP01.xls
299,3-May-01,dropping,15:55,Bruns.corner,8400,8900,,8650,TRUE,BPPEEP01.xls
300,3-May-01,,,TOTAL,,,,40900,total,BPPEEP01.xls
301,4-May-01,rising,15:55,WNW side Bruns,,,,,FALSE,BPPEEP01.xls
302,4-May-01,rising,16:00,Bruns.corner,12000,14000,,13000,FALSE,BPPEEP01.xls
303,4-May-01,rising,16:05,pilings (west end),400,,,400,FALSE,BPPEEP01.xls
304,4-May-01,rising,16:10,flying,1800,,,1800,FALSE,BPPEEP01.xls
305,4-May-01,rising,16:10,pilings (east end),200,,,200,FALSE,BPPEEP01.xls
