original_location_name,cleaned,station_n,station_s,sub_location,mumblies_yn,mud_yn,marsh_yn,tide_edge_yn,flying_yn
bend (E of E end pilings)-on mumblies,Bend (mumblies),Bend,,mumblies,true,false,false,false,false
bend and pilings,Pilings to Bend,Pilings,Bend,,,,,,
bend edge,Bend,Bend,,,,,,,
bend in road (outer and inner mud) (count 1),Bend (inner mud - outer mud),Bend,,inner mud - outer mud,false,true,false,false,false
bend to eagle log - outer mumblies and beyond,Bend (outer mumblies - beyond mumblies),Bend,,outer mumblies - beyond mumblies,true,false,false,false,false
bend viewpoint,Bend,Bend,,,,,,,
bend viewpoint ( inner mud),Bend (inner mud),Bend,,inner mud,false,true,false,false,false
bend viewpoint (east of east end pilings),Bend,Bend,,,,,,,
bend viewpoint (inner mud),Bend (inner mud),Bend,,inner mud,false,true,false,false,false
bend viewpoint (on mumblies),Bend (mumblies),Bend,,mumblies,true,false,false,false,false
beyond CP jetty sidemarsh,Coal Port jetty side marsh,Coal Port,,,,,,,
beyond mumblies,(beyond mumblies),,,beyond mumblies,true,false,false,false,false
BP (mud bar),Brunswick Point (mud bar),Brunswick Point,,mud bar,false,true,false,false,false
BP corner down to pilings,Pilings to Brunswick Point,Brunswick Point,Pilings,,,,,,
BP corner field,Brunswick Point (field),Brunswick Point,,field,false,false,false,false,false
BP corner mud roost,Brunswick Point (mud roost),Brunswick Point,,mud roost,false,true,false,false,false
BP corner to pilings,Pilings to Brunswick Point,Brunswick Point,Pilings,,,,,,
BP corner to pilings - mid mud,Brunswick Point to Pilings (mid mud),Brunswick Point,Pilings,mid mud,false,true,false,false,false
BP corner; edge of mumblies,Brunswick Point (mumblies),Brunswick Point,,mumblies,true,false,false,false,false
BP marsh tip; mudroost to view corner,Brunswick Point to View corner (marsh tip - mud roost),Brunswick Point,View corner,mud roost - marsh tip,false,true,true,false,false
BP mudislet (west end mumblies),Brunswick Point (mud islet - west end mumblies),Brunswick Point,,west end mumblies - mud islet,true,true,false,false,false
BP mudroost,Brunswick Point (mud roost),Brunswick Point,,mud roost,false,true,false,false,false
BP mudroost & inner mud of BP corner,Brunswick Point (inner mud - mud roost),Brunswick Point,,mud roost - inner mud,false,true,false,false,false
BP mudroost to view corner,Brunswick Point to View corner (mud roost),Brunswick Point,View corner,mud roost,false,true,false,false,false
BP mudroost view (BP corner to west end pilings),Brunswick Point to West end pilings (mud roost),Brunswick Point,Pilings,mud roost,false,true,false,false,false
BP mudroost view point,Brunswick Point (mud roost),Brunswick Point,,mud roost,false,true,false,false,false
BP mudroost view point (inner mud near view corner),Brunswick Point to View corner (mud roost - inner mud),Brunswick Point,View corner,mud roost - inner mud,false,true,false,false,false
BP mudroost view point (tide edge BP& mumblies),Brunswick Point (mud roost - tide edge - mumblies),Brunswick Point,,mud roost - tide edge - mumblies,true,true,false,true,false
BP mudroost viewpoint,Brunswick Point (mud roost),Brunswick Point,,mud roost,false,true,false,false,false
BP mudroost viewpoint  (inner mud thru corner marsh),Brunswick Point (mud roost - tide edge - marsh),Brunswick Point,,mud roost - tide edge - marsh,false,true,true,true,false
BP mudroost viewpoint  (mudroost),Brunswick Point (mud roost),Brunswick Point,,mud roost,false,true,false,false,false
BP mudroost viewpoint -,Brunswick Point,Brunswick Point,,,,,,,
BP mudroost viewpoint - off tip of BP,Brunswick Point (mud roost - marsh tip),Brunswick Point,,mud roost - marsh tip,false,true,true,false,false
BP mudroost viewpoint (BP inner mud),Brunswick Point (inner mud),Brunswick Point,,inner mud,false,true,false,false,false
BP mudroost viewpoint (inner mud),Brunswick Point (inner mud),Brunswick Point,,inner mud,false,true,false,false,false
BP mudroost viewpoint (marsh corner),Brunswick Point (mud roost - marsh tip),Brunswick Point,,mud roost - marsh tip,false,true,true,false,false
BP mudroost viewpoint (marshedge to tideline to pilings),Brunswick Point to Pilings (mud roost - tide edge),Brunswick Point,Pilings,mud roost - tide edge,false,true,false,true,false
BP mudroost viewpoint (mumblies off pilings),Brunswick Point to Pilings (mud roost - mumblies),Brunswick Point,Pilings,mud roost - mumblies,true,true,false,false,false
BP mudroost viewpoint (on mumblie ridge),Brunswick Point (mud roost - mumblies),Brunswick Point,,mud roost - mumblies,true,true,false,false,false
BP mudroost viewpoint (on west end mumblies),Brunswick Point (mud roost - west end mumblies),Brunswick Point,,mud roost - west end mumblies,true,true,false,false,false
BP mudroost viewpoint (outer tide line off BP marsh tip),Brunswick Point (mud roost - tide edge - marsh tip),Brunswick Point,,mud roost - tide edge - marsh tip,false,true,true,true,false
BP mudroost viewpoint (outer tide line off mumblies),Brunswick Point (mud roost - tide edge - mumblies),Brunswick Point,,mud roost - tide edge - mumblies,true,true,false,true,false
BP mudroost viewpoint (tideline to pilings),Brunswick Point (mud roost - tide edge),Brunswick Point,,mud roost - tide edge,false,true,false,true,false
BP mudroost viewpoint (w. end mumblies-tideedge),Brunswick Point (mud roost - tide edge - west end mumblies),Brunswick Point,,mud roost - tide edge - west end mumblies,true,true,false,true,false
BP mudroost viewpoint (west end mumblies),Brunswick Point (mud roost - west end mumblies),Brunswick Point,,mud roost - west end mumblies,true,true,false,false,false
Bruns corner,Brunswick Point,Brunswick Point,,,,,,,
Bruns corner (flying),Brunswick Point (flying),Brunswick Point,,flying,false,false,false,false,true
Bruns corner and outer edge mud,Brunswick Point (outer mud),Brunswick Point,,outer mud,false,true,false,false,false
Bruns corner and tide edge,Brunswick Point (tide edge),Brunswick Point,,tide edge,false,false,false,true,false
Bruns corner and west end mumblies,Brunswick Point (west end mumblies),Brunswick Point,,west end mumblies,true,false,false,false,false
Bruns corner at tide edge (flock 1),Brunswick Point (tide edge),Brunswick Point,,tide edge,false,false,false,true,false
Bruns corner at tide edge (flock 2),Brunswick Point (tide edge),Brunswick Point,,tide edge,false,false,false,true,false
Bruns corner far edge water,Brunswick Point (tide edge),Brunswick Point,,tide edge,false,false,false,true,false
Bruns corner mudroost,Brunswick Point (mud roost),Brunswick Point,,mud roost,false,true,false,false,false
Bruns corner near tide edge,Brunswick Point (tide edge),Brunswick Point,,tide edge,false,false,false,true,false
Bruns corner tideline,Brunswick Point (tide edge),Brunswick Point,,tide edge,false,false,false,true,false
Bruns corner to E end pilings,Brunswick Point to East end pilings,Brunswick Point,Pilings,,,,,,
Bruns corner to far pilings tide edge,Brunswick Point to Pilings (tide edge),Brunswick Point,Pilings,tide edge,false,false,false,true,false
Bruns corner to pilings at tide edge,Brunswick Point to Pilings (tide edge),Brunswick Point,Pilings,tide edge,false,false,false,true,false
Bruns corner to pilings inner mud,Brunswick Point to Pilings (inner mud),Brunswick Point,Pilings,inner mud,false,true,false,false,false
Bruns corner to pilings tide edge,Brunswick Point to Pilings (tide edge),Brunswick Point,Pilings,tide edge,false,false,false,true,false
Bruns corner to pilings-mumblies and tide edge,Brunswick Point to Pilings (tide edge - mumblies),Brunswick Point,Pilings,mumblies - tide edge,true,false,false,true,false
Bruns corner to W end mumblies (inner & mid mud),Brunswick Point (inner mud - mid mud - west end mumblies),Brunswick Point,,inner mud - mid mud - west end mumblies,true,true,false,false,false
Bruns corner to W of W end pilings,View corner to Brunswick Point,Brunswick Point,View corner,,,,,,
Bruns corner to west end mumblies,Brunswick Point (west end mumblies),Brunswick Point,,west end mumblies,true,false,false,false,false
Bruns corner to west end pilings,Brunswick Point to West end pilings,Brunswick Point,Pilings,,,,,,
"Bruns corner, middle distance",Brunswick Point (mid mud),Brunswick Point,,mid mud,false,true,false,false,false
"Bruns corner, near point marshedge",Brunswick Point (marsh),Brunswick Point,,marsh,false,false,true,false,false
Bruns dike,Brunswick dike,Brunswick dike,,,,,,,
Bruns Point corner,Brunswick Point,Brunswick Point,,,,,,,
Bruns Point corner - mid mud,Brunswick Point (mid mud),Brunswick Point,,mid mud,false,true,false,false,false
Bruns Point corner - tide edge,Brunswick Point (tide edge),Brunswick Point,,tide edge,false,false,false,true,false
Bruns Point corner - tide edge to marsh tip,Brunswick Point (marsh tip - tide edge),Brunswick Point,,marsh tip - tide edge,false,false,true,true,false
Bruns Point corner marsh edge,Brunswick Point (marsh),Brunswick Point,,marsh,false,false,true,false,false
Bruns Point marsh end,Brunswick Point (marsh),Brunswick Point,,marsh,false,false,true,false,false
Bruns Point marsh tip,Brunswick Point (marsh tip),Brunswick Point,,marsh tip,false,false,true,false,false
Bruns Point marsh tip&in air Canoe Pass,Brunswick Point to Canoe Pass (marsh tip),Canoe Pass,Brunswick Point,marsh tip,false,false,true,false,false
Bruns Point mudroost,Brunswick Point (mud roost),Brunswick Point,,mud roost,false,true,false,false,false
Bruns Point to west end pilings,Brunswick Point to West end pilings,Brunswick Point,Pilings,,,,,,
Bruns Pt  corner,Brunswick Point,Brunswick Point,,,,,,,
Bruns Pt  corner - far water edge,Brunswick Point (tide edge),Brunswick Point,,tide edge,false,false,false,true,false
Bruns Pt  corner - mid-inner mud,Brunswick Point (inner mud - mid mud),Brunswick Point,,inner mud - mid mud,false,true,false,false,false
Bruns Pt  corner - outer mud,Brunswick Point (outer mud),Brunswick Point,,outer mud,false,true,false,false,false
Bruns Pt corner - along edge of marsh,Brunswick Point (marsh),Brunswick Point,,marsh,false,false,true,false,false
Bruns Pt corner - inner mud,Brunswick Point (inner mud),Brunswick Point,,inner mud,false,true,false,false,false
Bruns Pt corner - roosting at marsh tip,Brunswick Point (marsh tip),Brunswick Point,,marsh tip,false,false,true,false,false
Bruns Pt corner and edge of marsh,Brunswick Point (marsh),Brunswick Point,,marsh,false,false,true,false,false
Bruns Pt corner area,Brunswick Point,Brunswick Point,,,,,,,
Bruns Pt corner marsh tip -west end mumblies,Brunswick Point (marsh tip - west end mumblies),Brunswick Point,,marsh tip - west end mumblies,true,false,true,false,false
Bruns Pt corner outer mud,Brunswick Point (outer mud),Brunswick Point,,outer mud,false,true,false,false,false
Bruns Pt corner to mid pilings (mid mud to tide line),Brunswick Point to Pilings (mid mud - tide edge),Brunswick Point,Pilings,mid mud - tide edge,false,true,false,true,false
Bruns Pt corner to west end mumblies,Brunswick Point (west end mumblies),Brunswick Point,,west end mumblies,true,false,false,false,false
Bruns Pt corner-west end mumblies - tide edge,Brunswick Point (west end mumblies - tide edge),Brunswick Point,,west end mumblies - tide edge,true,false,false,true,false
Bruns Pt corner-west end mumblies (mid-far mud),Brunswick Point (west end mumblies - mid mud - outer mud),Brunswick Point,,west end mumblies - mid mud - outer mud,true,true,false,false,false
"Bruns Pt corner, water edge",Brunswick Point (tide edge),Brunswick Point,,tide edge,false,false,false,true,false
Bruns Pt marsh tip -west end mumblies - tide edge,Brunswick Point (marsh tip - west end mumblies - tide edge),Brunswick Point,,marsh tip - west end mumblies - tide edge,true,false,true,true,false
Bruns Pt to east end pilings,Brunswick Point to East end pilings,Brunswick Point,Pilings,,,,,,
Bruns Pt to view corner,View corner to Brunswick Point,Brunswick Point,View corner,,,,,,
Bruns Pt. corner,Brunswick Point,Brunswick Point,,,,,,,
Bruns Pt. corner - inner mud,Brunswick Point (inner mud),Brunswick Point,,inner mud,false,true,false,false,false
Bruns Pt. corner - outer mud - tide edge,Brunswick Point (outer mud - tide edge),Brunswick Point,,outer mud - tide edge,false,true,false,true,false
Bruns Pt. corner (tide edge),Brunswick Point (tide edge),Brunswick Point,,tide edge,false,false,false,true,false
"Bruns Pt. corner, near mud roost",Brunswick Point (mud roost),Brunswick Point,,mud roost,false,true,false,false,false
Bruns. corner,Brunswick Point,Brunswick Point,,,,,,,
Bruns. Corner,Brunswick Point,Brunswick Point,,,,,,,
Bruns. corner (mumblies),Brunswick Point (mumblies),Brunswick Point,,mumblies,true,false,false,false,false
Bruns. Corner at tide edge,Brunswick Point (tide edge),Brunswick Point,,tide edge,false,false,false,true,false
Bruns. Corner-west end mumblies,Brunswick Point (west end mumblies),Brunswick Point,,west end mumblies,true,false,false,false,false
Bruns. dike,Brunswick dike,Brunswick dike,,,,,,,
Bruns. dike (fly),Brunswick dike (flying),Brunswick dike,,flying,false,false,false,false,true
Bruns. point,Brunswick Point,Brunswick Point,,,,,,,
Bruns. Pt. Corner,Brunswick Point,Brunswick Point,,,,,,,
Bruns. Pt. end,Brunswick Point,Brunswick Point,,,,,,,
Bruns.corner,Brunswick Point,Brunswick Point,,,,,,,
Bruns.corner - near shore,Brunswick Point,Brunswick Point,,,,,,,
Bruns.corner - tide edge,Brunswick Point (tide edge),Brunswick Point,,tide edge,false,false,false,true,false
Bruns.corner - tide edge beyond mumblies,Brunswick Point (tide edge - beyond mumblies),Brunswick Point,,tide edge - beyond mumblies,true,false,false,true,false
Bruns.corner - west end mumblies,Brunswick Point (west end mumblies),Brunswick Point,,west end mumblies,true,false,false,false,false
Bruns.corner (close to marsh),Brunswick Point (marsh),Brunswick Point,,marsh,false,false,true,false,false
Bruns.corner (in air circling),Brunswick Point (flying),Brunswick Point,,flying,false,false,false,false,true
Bruns.corner (on mud roost),Brunswick Point (mud roost),Brunswick Point,,mud roost,false,true,false,false,false
Bruns.corner (outer tide edge),Brunswick Point (tide edge),Brunswick Point,,tide edge,false,false,false,true,false
Bruns.corner & W end mumblies(mid to tide edge),Brunswick Point (west end mumblies - tide edge),Brunswick Point,,west end mumblies - tide edge,true,false,false,true,false
Bruns.corner along marsh edge to far tide edge,Brunswick Point (marsh - tide edge),Brunswick Point,,marsh - tide edge,false,false,true,true,false
Bruns.corner and west end mumbies,Brunswick Point (west end mumblies),Brunswick Point,,west end mumblies,true,false,false,false,false
Bruns.corner and west end mumblies,Brunswick Point (west end mumblies),Brunswick Point,,west end mumblies,true,false,false,false,false
Bruns.corner and west end mumblies(tide edge),Brunswick Point (west end mumblies - tide edge),Brunswick Point,,west end mumblies - tide edge,true,false,false,true,false
Bruns.corner to pilings,Pilings to Brunswick Point,Brunswick Point,Pilings,,,,,,
Bruns.corner(far water edge),Brunswick Point (tide edge),Brunswick Point,,tide edge,false,false,false,true,false
Bruns.dike.,Brunswick dike,Brunswick dike,,,,,,,
Bruns.outer edge,Brunswick Point,Brunswick Point,,,,,,,
Bruns.Point marsh tip,Brunswick Point (marsh tip),Brunswick Point,,marsh tip,false,false,true,false,false
Bruns.Point tip,Brunswick Point (marsh tip),Brunswick Point,,marsh tip,false,false,true,false,false
Bruns.Pt.,Brunswick Point,Brunswick Point,,,,,,,
Bruns.Pt.(fly),Brunswick Point (flying),Brunswick Point,,flying,false,false,false,false,true
BrunsCorner-mud islet,Brunswick Point (mud islet),Brunswick Point,,mud islet,false,true,false,false,false
BrunsPt corner-tide and marsh edge,Brunswick Point (marsh - tide edge),Brunswick Point,,marsh - tide edge,false,false,true,true,false
BrunsPt corner-west end mumblies (mudislet),Brunswick Point (mud islet - west end mumblies),Brunswick Point,,west end mumblies - mud islet,true,true,false,false,false
BrunsPt corner-west end mumblies (tide edge),Brunswick Point (west end mumblies - tide edge),Brunswick Point,,west end mumblies - tide edge,true,false,false,true,false
Brunswick area,Brunswick Point,Brunswick Point,,,,,,,
Brunswick corner,Brunswick Point,Brunswick Point,,,,,,,
Brunswick Corner,Brunswick Point,Brunswick Point,,,,,,,
Brunswick corner - inner mud,Brunswick Point (inner mud),Brunswick Point,,inner mud,false,true,false,false,false
Brunswick corner - outer edge of mud,Brunswick Point (outer mud),Brunswick Point,,outer mud,false,true,false,false,false
Brunswick corner and tide edge,Brunswick Point (tide edge),Brunswick Point,,tide edge,false,false,false,true,false
Brunswick corner inner mud,Brunswick Point (inner mud),Brunswick Point,,inner mud,false,true,false,false,false
Brunswick Point,Brunswick Point,Brunswick Point,,,,,,,
Brunswick Point - marsh tip,Brunswick Point (marsh tip),Brunswick Point,,marsh tip,false,false,true,false,false
Brunswick Point - tide edge,Brunswick Point (tide edge),Brunswick Point,,tide edge,false,false,false,true,false
Brunswick Point corner,Brunswick Point,Brunswick Point,,,,,,,
Brunswick Point corner - mid to far mud,Brunswick Point (mid mud - outer mud),Brunswick Point,,mid mud - outer mud,false,true,false,false,false
Brunswick Point corner - mudroost,Brunswick Point (mud roost),Brunswick Point,,mud roost,false,true,false,false,false
Brunswick Point corner - on tide edge,Brunswick Point (tide edge),Brunswick Point,,tide edge,false,false,false,true,false
Brunswick Point corner - tide edge,Brunswick Point (tide edge),Brunswick Point,,tide edge,false,false,false,true,false
Brunswick Point corner -mid mud to water edge,Brunswick Point (mid mud - tide edge),Brunswick Point,,mid mud - tide edge,false,true,false,true,false
"Brunswick Point corner -mid mud, east of roost",Brunswick Point (mid mud),Brunswick Point,,mid mud,false,true,false,false,false
Brunswick Point marsh,Brunswick Point (marsh),Brunswick Point,,marsh,false,false,true,false,false
Brunswick point marsh tip,Brunswick Point (marsh tip),Brunswick Point,,marsh tip,false,false,true,false,false
Brunswick Point marsh tip,Brunswick Point (marsh tip),Brunswick Point,,marsh tip,false,false,true,false,false
Brunswick Point marsh tip - tide edge,Brunswick Point (marsh tip - tide edge),Brunswick Point,,marsh tip - tide edge,false,false,true,true,false
Brunswick Point marsh tip (in flight),Brunswick Point (marsh tip - flying),Brunswick Point,,marsh tip - flying,false,false,true,false,true
Brunswick Point marsh tip (mud islet),Brunswick Point (marsh tip - mud islet),Brunswick Point,,marsh tip - mud islet,false,true,true,false,false
Brunswick Point marsh tip & mudislet,Brunswick Point (marsh tip - mud islet),Brunswick Point,,marsh tip - mud islet,false,true,true,false,false
Brunswick Point marsh tip edges,Brunswick Point (marsh tip),Brunswick Point,,marsh tip,false,false,true,false,false
Brunswick Point mudroost,Brunswick Point (mud roost),Brunswick Point,,mud roost,false,true,false,false,false
Brunswick Point outer marsh edge,Brunswick Point (marsh),Brunswick Point,,marsh,false,false,true,false,false
Brunswick Point tip - flew in to corner,Brunswick Point,Brunswick Point,,,,,,,
Brunswick Pt - near tip,Brunswick Point (marsh tip),Brunswick Point,,marsh tip,false,false,true,false,false
Brunswick Pt - tide edge to pilings,Brunswick Point to Pilings (tide edge),Brunswick Point,Pilings,tide edge,false,false,false,true,false
Brunswick Pt corner,Brunswick Point,Brunswick Point,,,,,,,
Brunswick Pt corner - at tide edge,Brunswick Point (tide edge),Brunswick Point,,tide edge,false,false,false,true,false
Brunswick Pt corner - center mud,Brunswick Point (mid mud),Brunswick Point,,mid mud,false,true,false,false,false
Brunswick Pt corner - in flight,Brunswick Point (flying),Brunswick Point,,flying,false,false,false,false,true
Brunswick Pt corner - inner mud,Brunswick Point (inner mud),Brunswick Point,,inner mud,false,true,false,false,false
Brunswick Pt corner - inner to mid mud,Brunswick Point (inner mud - mid mud),Brunswick Point,,inner mud - mid mud,false,true,false,false,false
Brunswick Pt corner - marsh edge,Brunswick Point (marsh),Brunswick Point,,marsh,false,false,true,false,false
Brunswick Pt corner - marsh edge mud,Brunswick Point (marsh),Brunswick Point,,marsh,false,false,true,false,false
Brunswick Pt corner - marsh tip,Brunswick Point (marsh tip),Brunswick Point,,marsh tip,false,false,true,false,false
Brunswick Pt corner - mid mud area,Brunswick Point (mid mud),Brunswick Point,,mid mud,false,true,false,false,false
Brunswick Pt corner - mud roost,Brunswick Point (mud roost),Brunswick Point,,mud roost,false,true,false,false,false
Brunswick Pt corner - mudroost,Brunswick Point (mud roost),Brunswick Point,,mud roost,false,true,false,false,false
Brunswick Pt corner - on tide line,Brunswick Point (tide edge),Brunswick Point,,tide edge,false,false,false,true,false
Brunswick Pt corner - outer mud,Brunswick Point (outer mud),Brunswick Point,,outer mud,false,true,false,false,false
Brunswick Pt corner - tide & marsh edge,Brunswick Point (marsh - tide edge),Brunswick Point,,marsh - tide edge,false,false,true,true,false
Brunswick Pt corner - tide edge,Brunswick Point (tide edge),Brunswick Point,,tide edge,false,false,false,true,false
Brunswick Pt corner - tide edge near marsh tip,Brunswick Point (marsh tip - tide edge),Brunswick Point,,marsh tip - tide edge,false,false,true,true,false
Brunswick Pt corner - West end mumblies,Brunswick Point (west end mumblies),Brunswick Point,,west end mumblies,true,false,false,false,false
Brunswick Pt corner -marsh,Brunswick Point (marsh),Brunswick Point,,marsh,false,false,true,false,false
Brunswick Pt corner -tide edge,Brunswick Point (tide edge),Brunswick Point,,tide edge,false,false,false,true,false
