survey_date,start_time,station,station_n,station_s,mumblies_yn,mud_yn,marsh_yn,tide_edge_yn,flying_yn,final_count,p_wesa,elev_min,elev_max,elev_median,elev_mean,elev_range,flow,total_precip,mean_temp,u,v,windspd,wind_deg,station_n_no,station_s_no,station_diff,year,julian_day,dos,n_s
1997-04-26,10:20,Brunswick Point,Brunswick Point,,FALSE,FALSE,FALSE,FALSE,FALSE,0,84.57711443,1.05,4.48,3.29,3.081666667,3.43,4260,8,15.3,-3.5,2,10.83333333,164.2057106,3,,,1997,116,-0.278564415,N
1997-04-26,10:00,Coal Port corner,Coal Port,,FALSE,FALSE,FALSE,FALSE,FALSE,0,84.57711443,1.05,4.48,3.29,3.081666667,3.43,4260,8,15.3,-3.5,2,10.83333333,164.2057106,8,,,1997,116,-0.278564415,S
1997-04-26,10:00,Coal Port jetty side marsh,Coal Port,,FALSE,FALSE,FALSE,FALSE,FALSE,8500,84.57711443,1.05,4.48,3.29,3.081666667,3.43,4260,8,15.3,-3.5,2,10.83333333,164.2057106,8,,,1997,116,-0.278564415,S
1997-04-26,10:10,Pilings (outer mud),Pilings,,FALSE,TRUE,FALSE,FALSE,FALSE,118700,84.57711443,1.05,4.48,3.29,3.081666667,3.43,4260,8,15.3,-3.5,2,10.83333333,164.2057106,5,,,1997,116,-0.278564415,N
1997-04-28,9:40,Brunswick Point,Brunswick Point,,FALSE,FALSE,FALSE,FALSE,FALSE,27500,91.14559562,1.18,4.51,3.385,3.057083333,3.33,4810,5.2,9.5,-2.25742631,12.80250079,13.5,105.2391857,3,,,1997,118,0.002388548,N
1997-04-28,10:05,Coal Port corner,Coal Port,,FALSE,FALSE,FALSE,FALSE,FALSE,64500,91.14559562,1.18,4.51,3.385,3.057083333,3.33,4810,5.2,9.5,-2.25742631,12.80250079,13.5,105.2391857,8,,,1997,118,0.002388548,S
1997-04-28,9:50,West end pilings,Pilings,,FALSE,FALSE,FALSE,FALSE,FALSE,5100,91.14559562,1.18,4.51,3.385,3.057083333,3.33,4810,5.2,9.5,-2.25742631,12.80250079,13.5,105.2391857,5,,,1997,118,0.002388548,N
1997-04-29,11:30,Brunswick Point,Brunswick Point,,FALSE,FALSE,FALSE,FALSE,FALSE,84500,99.00083264,1.28,4.43,3.29,3.0525,3.15,5240,1,9.4,-2.604722665,-6.281088913,9.25,-145.3663571,3,,,1997,119,0.142865029,N
1997-04-29,10:58,Coal Port jetty side marsh,Coal Port,,FALSE,FALSE,FALSE,FALSE,FALSE,4700,99.00083264,1.28,4.43,3.29,3.0525,3.15,5240,1,9.4,-2.604722665,-6.281088913,9.25,-145.3663571,8,,,1997,119,0.142865029,S
1997-04-29,11:18,Pilings (outer mud),Pilings,,FALSE,TRUE,FALSE,FALSE,FALSE,2000,99.00083264,1.28,4.43,3.29,3.0525,3.15,5240,1,9.4,-2.604722665,-6.281088913,9.25,-145.3663571,5,,,1997,119,0.142865029,N
1997-04-30,11:50,Brunswick Point,Brunswick Point,,FALSE,FALSE,FALSE,FALSE,FALSE,33000,96.25,1.64,4.52,3.16,3.1175,2.88,5840,9.6,7.9,0.7814168,7.931634889,13.95833333,66.27607702,3,,,1997,120,0.283341511,N
1997-04-30,11:45,Coal Port corner,Coal Port,,FALSE,FALSE,FALSE,FALSE,FALSE,2600,96.25,1.64,4.52,3.16,3.1175,2.88,5840,9.6,7.9,0.7814168,7.931634889,13.95833333,66.27607702,8,,,1997,120,0.283341511,S
1997-04-30,10:30,Coal Port jetty side marsh,Coal Port,,FALSE,FALSE,FALSE,FALSE,FALSE,17000,96.25,1.64,4.52,3.16,3.1175,2.88,5840,9.6,7.9,0.7814168,7.931634889,13.95833333,66.27607702,8,,,1997,120,0.283341511,S
1997-05-01,14:00,Brunswick Point,Brunswick Point,,FALSE,FALSE,FALSE,FALSE,FALSE,177000,99.88901221,1.68,4.5,3.04,3.0125,2.82,6130,1.2,10.3,-6.06E-15,-14.09538931,16.91666667,-102.2207021,3,,,1997,121,0.423817992,N
1997-05-02,16:20,Brunswick Point,Brunswick Point,,FALSE,FALSE,FALSE,FALSE,FALSE,101400,99.09381663,2.04,4.45,3.025,3.08625,2.41,6130,0,11.1,-3.762221577,12.89644092,15.95833333,121.010328,3,,,1997,122,0.564294473,N
1997-05-02,16:10,Coal Port jetty side marsh,Coal Port,,FALSE,FALSE,FALSE,FALSE,FALSE,15000,99.09381663,2.04,4.45,3.025,3.08625,2.41,6130,0,11.1,-3.762221577,12.89644092,15.95833333,121.010328,8,,,1997,122,0.564294473,S
1997-05-03,15:00,Brunswick Point,Brunswick Point,,FALSE,FALSE,FALSE,FALSE,FALSE,22000,96.77419355,1.94,4.67,3.075,3.16875,2.73,6020,1.3,12.4,-15,9.958577761,16.33333333,144.1313002,3,,,1997,123,0.704770955,N
1997-05-03,15:00,Brunswick Point (flying),Brunswick Point,,FALSE,FALSE,FALSE,FALSE,TRUE,15000,96.77419355,1.94,4.67,3.075,3.16875,2.73,6020,1.3,12.4,-15,9.958577761,16.33333333,144.1313002,3,,,1997,123,0.704770955,N
1997-05-03,14:42,Coal Port corner (flying),Coal Port,,FALSE,FALSE,FALSE,FALSE,TRUE,19700,96.77419355,1.94,4.67,3.075,3.16875,2.73,6020,1.3,12.4,-15,9.958577761,16.33333333,144.1313002,8,,,1997,123,0.704770955,S
1997-05-03,14:25,Coal Port jetty side marsh,Coal Port,,FALSE,FALSE,FALSE,FALSE,FALSE,1270,96.77419355,1.94,4.67,3.075,3.16875,2.73,6020,1.3,12.4,-15,9.958577761,16.33333333,144.1313002,8,,,1997,123,0.704770955,S
1997-05-03,14:50,West end pilings,Pilings,,FALSE,FALSE,FALSE,FALSE,FALSE,2000,96.77419355,1.94,4.67,3.075,3.16875,2.73,6020,1.3,12.4,-15,9.958577761,16.33333333,144.1313002,5,,,1997,123,0.704770955,N
1997-05-04,16:00,Brunswick Point,Brunswick Point,,FALSE,FALSE,FALSE,FALSE,FALSE,13500,94.83072443,1.48,4.62,3.29,3.13375,3.14,5860,3.4,10.5,-0.955064977,16.35825318,18.08333333,95.35479324,3,,,1997,124,0.845247436,N
1997-05-04,15:30,Coal Port corner,Coal Port,,FALSE,FALSE,FALSE,FALSE,FALSE,27000,94.83072443,1.48,4.62,3.29,3.13375,3.14,5860,3.4,10.5,-0.955064977,16.35825318,18.08333333,95.35479324,8,,,1997,124,0.845247436,S
1997-05-04,16:00,West end pilings,Pilings,,FALSE,FALSE,FALSE,FALSE,FALSE,3000,94.83072443,1.48,4.62,3.29,3.13375,3.14,5860,3.4,10.5,-0.955064977,16.35825318,18.08333333,95.35479324,5,,,1997,124,0.845247436,N
1997-05-05,16:40,Brunswick Point,Brunswick Point,,FALSE,FALSE,FALSE,FALSE,FALSE,10500,92.48644462,1.23,4.62,3.28,3.184166667,3.39,5710,13.8,10.8,-1.562833599,12.80250079,12.875,97.82446912,3,,,1997,125,0.985723917,N
1997-05-05,16:30,Brunswick Point (flying),Brunswick Point,,FALSE,FALSE,FALSE,FALSE,TRUE,13300,92.48644462,1.23,4.62,3.28,3.184166667,3.39,5710,13.8,10.8,-1.562833599,12.80250079,12.875,97.82446912,3,,,1997,125,0.985723917,N
1997-05-05,16:15,Coal Port corner,Coal Port,,FALSE,FALSE,FALSE,FALSE,FALSE,14000,92.48644462,1.23,4.62,3.28,3.184166667,3.39,5710,13.8,10.8,-1.562833599,12.80250079,12.875,97.82446912,8,,,1997,125,0.985723917,S
1997-05-06,16:40,Brunswick Point,Brunswick Point,,FALSE,FALSE,FALSE,FALSE,FALSE,8400,91.08280255,0.9,4.62,3.425,3.174166667,3.72,5690,4.1,10.1,-6.285331853,3.530768476,10.58333333,160.8540005,3,,,1997,126,1.126200399,N
1997-05-06,16:15,Coal Port jetty side marsh,Coal Port,,FALSE,FALSE,FALSE,FALSE,FALSE,4300,91.08280255,0.9,4.62,3.425,3.174166667,3.72,5690,4.1,10.1,-6.285331853,3.530768476,10.58333333,160.8540005,8,,,1997,126,1.126200399,S
1997-05-06,16:40,West end pilings,Pilings,,FALSE,FALSE,FALSE,FALSE,FALSE,2300,91.08280255,0.9,4.62,3.425,3.174166667,3.72,5690,4.1,10.1,-6.285331853,3.530768476,10.58333333,160.8540005,5,,,1997,126,1.126200399,N
1997-05-07,0:00,Brunswick Point,Brunswick Point,,FALSE,FALSE,FALSE,FALSE,FALSE,2500,,0.61,4.49,3.335,3.036666667,3.88,5710,0,10.1,4.446261863,-8.426488874,15,-10.14637334,3,,,1997,127,1.26667688,N
1999-04-20,10:45,Bend,Bend,,FALSE,FALSE,FALSE,FALSE,FALSE,1100,81.52866242,0.67,4.48,3.265,2.975416667,3.81,2280,0.9,8.5,-2.673080012,-4.479187,11.91666667,-143.1677614,6,,,1999,110,-1.121423303,N
1999-04-20,10:55,Brunswick Point,Brunswick Point,,FALSE,FALSE,FALSE,FALSE,FALSE,31125,81.52866242,0.67,4.48,3.265,2.975416667,3.81,2280,0.9,8.5,-2.673080012,-4.479187,11.91666667,-143.1677614,3,,,1999,110,-1.121423303,N
1999-04-20,10:15,Coal Port corner,Coal Port,,FALSE,FALSE,FALSE,FALSE,FALSE,3000,81.52866242,0.67,4.48,3.265,2.975416667,3.81,2280,0.9,8.5,-2.673080012,-4.479187,11.91666667,-143.1677614,8,,,1999,110,-1.121423303,S
1999-04-20,10:30,Coal Port jetty side marsh,Coal Port,,FALSE,FALSE,FALSE,FALSE,FALSE,1450,81.52866242,0.67,4.48,3.265,2.975416667,3.81,2280,0.9,8.5,-2.673080012,-4.479187,11.91666667,-143.1677614,8,,,1999,110,-1.121423303,S
1999-04-20,10:40,Pilings,Pilings,,FALSE,FALSE,FALSE,FALSE,FALSE,170,81.52866242,0.67,4.48,3.265,2.975416667,3.81,2280,0.9,8.5,-2.673080012,-4.479187,11.91666667,-143.1677614,5,,,1999,110,-1.121423303,N
1999-04-21,11:45,Brunswick Point,Brunswick Point,,FALSE,FALSE,FALSE,FALSE,FALSE,28000,,0.87,4.46,3.225,2.965416667,3.59,2620,0.2,8.1,-1.562833599,-4.431634889,14.33333333,176.5201446,3,,,1999,111,-0.980946821,N
1999-04-21,11:45,Brunswick Point (mud islet),Brunswick Point,,FALSE,TRUE,FALSE,FALSE,FALSE,1700,,0.87,4.46,3.225,2.965416667,3.59,2620,0.2,8.1,-1.562833599,-4.431634889,14.33333333,176.5201446,3,,,1999,111,-0.980946821,N
1999-04-21,11:10,Coal Port corner,Coal Port,,FALSE,FALSE,FALSE,FALSE,FALSE,0,,0.87,4.46,3.225,2.965416667,3.59,2620,0.2,8.1,-1.562833599,-4.431634889,14.33333333,176.5201446,8,,,1999,111,-0.980946821,S
1999-04-21,11:10,Coal Port jetty side marsh,Coal Port,,FALSE,FALSE,FALSE,FALSE,FALSE,0,,0.87,4.46,3.225,2.965416667,3.59,2620,0.2,8.1,-1.562833599,-4.431634889,14.33333333,176.5201446,8,,,1999,111,-0.980946821,S
1999-04-22,11:30,Brunswick Point,Brunswick Point,,FALSE,FALSE,FALSE,FALSE,FALSE,51750,80.49886621,0.97,4.41,3.13,2.84375,3.44,3050,0,8.7,6.374624692,-11.16177596,10.125,-57.13184381,3,,,1999,112,-0.84047034,N
1999-04-22,11:05,Coal Port corner,Coal Port,,FALSE,FALSE,FALSE,FALSE,FALSE,0,80.49886621,0.97,4.41,3.13,2.84375,3.44,3050,0,8.7,6.374624692,-11.16177596,10.125,-57.13184381,8,,,1999,112,-0.84047034,S
1999-04-22,11:05,Coal Port jetty side marsh,Coal Port,,FALSE,FALSE,FALSE,FALSE,FALSE,0,80.49886621,0.97,4.41,3.13,2.84375,3.44,3050,0,8.7,6.374624692,-11.16177596,10.125,-57.13184381,8,,,1999,112,-0.84047034,S
1999-04-22,11:20,Pilings,Pilings,,FALSE,FALSE,FALSE,FALSE,FALSE,2400,80.49886621,0.97,4.41,3.13,2.84375,3.44,3050,0,8.7,6.374624692,-11.16177596,10.125,-57.13184381,5,,,1999,112,-0.84047034,N
1999-04-23,11:45,Brunswick Point,Brunswick Point,,FALSE,FALSE,FALSE,FALSE,FALSE,54933,,1.28,4.27,2.955,2.839166667,2.99,3550,0,10.1,-1.041889066,-6.062177826,5.291666667,-89.67746798,3,,,1999,113,-0.699993859,N
1999-04-23,11:20,Coal Port corner,Coal Port,,FALSE,FALSE,FALSE,FALSE,FALSE,3900,,1.28,4.27,2.955,2.839166667,2.99,3550,0,10.1,-1.041889066,-6.062177826,5.291666667,-89.67746798,8,,,1999,113,-0.699993859,S
1999-04-23,11:20,Coal Port jetty side marsh,Coal Port,,FALSE,FALSE,FALSE,FALSE,FALSE,0,,1.28,4.27,2.955,2.839166667,2.99,3550,0,10.1,-1.041889066,-6.062177826,5.291666667,-89.67746798,8,,,1999,113,-0.699993859,S
1999-04-23,11:20,Pilings,Pilings,,FALSE,FALSE,FALSE,FALSE,FALSE,250,,1.28,4.27,2.955,2.839166667,2.99,3550,0,10.1,-1.041889066,-6.062177826,5.291666667,-89.67746798,5,,,1999,113,-0.699993859,N
1999-04-23,11:35,Pilings (mid mud),Pilings,,FALSE,TRUE,FALSE,FALSE,FALSE,1770,,1.28,4.27,2.955,2.839166667,2.99,3550,0,10.1,-1.041889066,-6.062177826,5.291666667,-89.67746798,5,,,1999,113,-0.699993859,N
1999-04-26,16:30,Brunswick Point,Brunswick Point,,FALSE,FALSE,FALSE,FALSE,FALSE,164800,,1.92,4.27,2.95,2.982916667,2.35,4540,0,8.7,-5.785088487,-9.958577761,15.875,-123.0460962,3,,,1999,116,-0.278564415,N
1999-04-26,15:25,Coal Port corner,Coal Port,,FALSE,FALSE,FALSE,FALSE,FALSE,13000,,1.92,4.27,2.95,2.982916667,2.35,4540,0,8.7,-5.785088487,-9.958577761,15.875,-123.0460962,8,,,1999,116,-0.278564415,S
1999-04-26,15:25,Coal Port jetty side marsh,Coal Port,,FALSE,FALSE,FALSE,FALSE,FALSE,300,,1.92,4.27,2.95,2.982916667,2.35,4540,0,8.7,-5.785088487,-9.958577761,15.875,-123.0460962,8,,,1999,116,-0.278564415,S
1999-04-26,0:00,Pilings,Pilings,,FALSE,FALSE,FALSE,FALSE,FALSE,10000,,1.92,4.27,2.95,2.982916667,2.35,4540,0,8.7,-5.785088487,-9.958577761,15.875,-123.0460962,5,,,1999,116,-0.278564415,N
1999-04-26,0:00,Pilings (outer mud),Pilings,,FALSE,TRUE,FALSE,FALSE,FALSE,13500,,1.92,4.27,2.95,2.982916667,2.35,4540,0,8.7,-5.785088487,-9.958577761,15.875,-123.0460962,5,,,1999,116,-0.278564415,N
1999-04-27,16:20,Brunswick Point,Brunswick Point,,FALSE,FALSE,FALSE,FALSE,FALSE,202500,,1.86,4.2,2.975,3.01,2.34,4740,0,8.2,0.955064977,-2.48119363,13,3.489344487,3,,,1999,117,-0.138087933,N
1999-04-27,15:57,Coal Port corner,Coal Port,,FALSE,FALSE,FALSE,FALSE,FALSE,0,,1.86,4.2,2.975,3.01,2.34,4740,0,8.2,0.955064977,-2.48119363,13,3.489344487,8,,,1999,117,-0.138087933,S
1999-04-27,15:57,Coal Port jetty side marsh,Coal Port,,FALSE,FALSE,FALSE,FALSE,FALSE,0,,1.86,4.2,2.975,3.01,2.34,4740,0,8.2,0.955064977,-2.48119363,13,3.489344487,8,,,1999,117,-0.138087933,S
1999-04-27,15:57,Pilings,Pilings,,FALSE,FALSE,FALSE,FALSE,FALSE,12000,,1.86,4.2,2.975,3.01,2.34,4740,0,8.2,0.955064977,-2.48119363,13,3.489344487,5,,,1999,117,-0.138087933,N
1999-04-28,16:40,Brunswick Point,Brunswick Point,,FALSE,FALSE,FALSE,FALSE,FALSE,127000,,1.58,4.18,3.04,2.97125,2.6,5110,0,9,5.814342437,-8.863269777,11.375,-25.15738824,3,,,1999,118,0.002388548,N
1999-04-28,16:19,Coal Port corner,Coal Port,,FALSE,FALSE,FALSE,FALSE,FALSE,0,,1.58,4.18,3.04,2.97125,2.6,5110,0,9,5.814342437,-8.863269777,11.375,-25.15738824,8,,,1999,118,0.002388548,S
1999-04-28,16:19,Coal Port jetty side marsh,Coal Port,,FALSE,FALSE,FALSE,FALSE,FALSE,0,,1.58,4.18,3.04,2.97125,2.6,5110,0,9,5.814342437,-8.863269777,11.375,-25.15738824,8,,,1999,118,0.002388548,S
1999-04-28,16:30,Pilings,Pilings,,FALSE,FALSE,FALSE,FALSE,FALSE,50200,,1.58,4.18,3.04,2.97125,2.6,5110,0,9,5.814342437,-8.863269777,11.375,-25.15738824,5,,,1999,118,0.002388548,N
1999-04-29,17:00,Brunswick Point,Brunswick Point,,FALSE,FALSE,FALSE,FALSE,FALSE,222500,,1.32,4.02,3.055,2.951666667,2.7,5450,0,10.4,6.498382723,-8.426488874,12.79166667,-35.7727639,3,,,1999,119,0.142865029,N
1999-04-29,16:54,Coal Port corner,Coal Port,,FALSE,FALSE,FALSE,FALSE,FALSE,0,,1.32,4.02,3.055,2.951666667,2.7,5450,0,10.4,6.498382723,-8.426488874,12.79166667,-35.7727639,8,,,1999,119,0.142865029,S
1999-04-29,16:54,Coal Port jetty side marsh,Coal Port,,FALSE,FALSE,FALSE,FALSE,FALSE,0,,1.32,4.02,3.055,2.951666667,2.7,5450,0,10.4,6.498382723,-8.426488874,12.79166667,-35.7727639,8,,,1999,119,0.142865029,S
1999-04-29,16:54,Pilings,Pilings,,FALSE,FALSE,FALSE,FALSE,FALSE,1000,,1.32,4.02,3.055,2.951666667,2.7,5450,0,10.4,6.498382723,-8.426488874,12.79166667,-35.7727639,5,,,1999,119,0.142865029,N
1999-04-30,17:00,Brunswick Point,Brunswick Point,,FALSE,FALSE,FALSE,FALSE,FALSE,115000,,1.27,4.15,3.195,3.03125,2.88,5460,0,10.7,-4.472887566,10,12.83333333,125.1724486,3,,,1999,120,0.283341511,N
1999-04-30,17:24,Coal Port corner,Coal Port,,FALSE,FALSE,FALSE,FALSE,FALSE,0,,1.27,4.15,3.195,3.03125,2.88,5460,0,10.7,-4.472887566,10,12.83333333,125.1724486,8,,,1999,120,0.283341511,S
1999-04-30,17:24,Coal Port jetty side marsh,Coal Port,,FALSE,FALSE,FALSE,FALSE,FALSE,0,,1.27,4.15,3.195,3.03125,2.88,5460,0,10.7,-4.472887566,10,12.83333333,125.1724486,8,,,1999,120,0.283341511,S
1999-04-30,17:15,Pilings,Pilings,,FALSE,FALSE,FALSE,FALSE,FALSE,2600,,1.27,4.15,3.195,3.03125,2.88,5460,0,10.7,-4.472887566,10,12.83333333,125.1724486,5,,,1999,120,0.283341511,N
1999-05-01,9:15,Brunswick Point,Brunswick Point,,FALSE,FALSE,FALSE,FALSE,FALSE,73000,,1.31,4.32,3.24,3.135833333,3.01,5270,5,10.9,-12.60319256,1.59E-15,18.125,169.8470312,3,,,1999,121,0.423817992,N
1999-05-01,9:00,Coal Port corner,Coal Port,,FALSE,FALSE,FALSE,FALSE,FALSE,8000,,1.31,4.32,3.24,3.135833333,3.01,5270,5,10.9,-12.60319256,1.59E-15,18.125,169.8470312,8,,,1999,121,0.423817992,S
1999-05-01,9:00,Coal Port jetty side marsh,Coal Port,,FALSE,FALSE,FALSE,FALSE,FALSE,6000,,1.31,4.32,3.24,3.135833333,3.01,5270,5,10.9,-12.60319256,1.59E-15,18.125,169.8470312,8,,,1999,121,0.423817992,S
1999-05-02,9:00,Brunswick Point,Brunswick Point,,FALSE,FALSE,FALSE,FALSE,FALSE,22500,,1.29,4.44,3.49,3.189166667,3.15,4990,4.4,8.6,1.368080573,8.356238926,11.5,80.56584098,3,,,1999,122,0.564294473,N
1999-05-02,8:45,Coal Port corner,Coal Port,,FALSE,FALSE,FALSE,FALSE,FALSE,68500,,1.29,4.44,3.49,3.189166667,3.15,4990,4.4,8.6,1.368080573,8.356238926,11.5,80.56584098,8,,,1999,122,0.564294473,S
1999-05-02,8:45,Coal Port jetty side marsh,Coal Port,,FALSE,FALSE,FALSE,FALSE,FALSE,0,,1.29,4.44,3.49,3.189166667,3.15,4990,4.4,8.6,1.368080573,8.356238926,11.5,80.56584098,8,,,1999,122,0.564294473,S
1999-05-02,8:50,Pilings,Pilings,,FALSE,FALSE,FALSE,FALSE,FALSE,8000,,1.29,4.44,3.49,3.189166667,3.15,4990,4.4,8.6,1.368080573,8.356238926,11.5,80.56584098,5,,,1999,122,0.564294473,N
1999-05-03,19:00,Brunswick Point,Brunswick Point,,FALSE,FALSE,FALSE,FALSE,FALSE,79000,,1.27,4.46,3.435,3.231666667,3.19,4750,0.4,9.7,-6,-12.89644092,20,-127.3305455,3,,,1999,123,0.704770955,N
1999-05-03,18:30,Coal Port corner,Coal Port,,FALSE,FALSE,FALSE,FALSE,FALSE,17500,,1.27,4.46,3.435,3.231666667,3.19,4750,0.4,9.7,-6,-12.89644092,20,-127.3305455,8,,,1999,123,0.704770955,S
1999-05-03,18:30,Coal Port jetty side marsh,Coal Port,,FALSE,FALSE,FALSE,FALSE,FALSE,0,,1.27,4.46,3.435,3.231666667,3.19,4750,0.4,9.7,-6,-12.89644092,20,-127.3305455,8,,,1999,123,0.704770955,S
1999-05-03,0:00,Pilings,Pilings,,FALSE,FALSE,FALSE,FALSE,FALSE,0,,1.27,4.46,3.435,3.231666667,3.19,4750,0.4,9.7,-6,-12.89644092,20,-127.3305455,5,,,1999,123,0.704770955,N
1999-05-04,19:00,Brunswick Point,Brunswick Point,,FALSE,FALSE,FALSE,FALSE,FALSE,60000,,1.18,4.29,3.375,3.102083333,3.11,4650,0,10.2,-5.246306626,-9.570907073,13.875,-118.0137248,3,,,1999,124,0.845247436,N
1999-05-04,19:15,Coal Port corner,Coal Port,,FALSE,FALSE,FALSE,FALSE,FALSE,16000,,1.18,4.29,3.375,3.102083333,3.11,4650,0,10.2,-5.246306626,-9.570907073,13.875,-118.0137248,8,,,1999,124,0.845247436,S
1999-05-05,10:35,Brunswick Point,Brunswick Point,,FALSE,FALSE,FALSE,FALSE,FALSE,43800,,1.11,4.27,3.27,2.946666667,3.16,4630,0,9.1,-2.604722665,14.7721163,15.5,107.2921376,3,,,1999,125,0.985723917,N
1999-05-05,10:10,Coal Port corner,Coal Port,,FALSE,FALSE,FALSE,FALSE,FALSE,41000,,1.11,4.27,3.27,2.946666667,3.16,4630,0,9.1,-2.604722665,14.7721163,15.5,107.2921376,8,,,1999,125,0.985723917,S
1999-05-05,10:10,Coal Port jetty side marsh,Coal Port,,FALSE,FALSE,FALSE,FALSE,FALSE,8800,,1.11,4.27,3.27,2.946666667,3.16,4630,0,9.1,-2.604722665,14.7721163,15.5,107.2921376,8,,,1999,125,0.985723917,S
1999-05-06,9:30,Bend,Bend,,FALSE,FALSE,FALSE,FALSE,FALSE,750,89.30441286,1.4,4.4,3.365,3.1025,3,4650,5.8,11,-1.910129954,10.06080001,17.70833333,111.9493028,6,,,1999,126,1.126200399,N
1999-05-06,9:53,Brunswick Point,Brunswick Point,,FALSE,FALSE,FALSE,FALSE,FALSE,8267,89.30441286,1.4,4.4,3.365,3.1025,3,4650,5.8,11,-1.910129954,10.06080001,17.70833333,111.9493028,3,,,1999,126,1.126200399,N
1999-05-06,9:10,Coal Port corner,Coal Port,,FALSE,FALSE,FALSE,FALSE,FALSE,27500,89.30441286,1.4,4.4,3.365,3.1025,3,4650,5.8,11,-1.910129954,10.06080001,17.70833333,111.9493028,8,,,1999,126,1.126200399,S
1999-05-06,9:10,Coal Port jetty side marsh,Coal Port,,FALSE,FALSE,FALSE,FALSE,FALSE,5500,89.30441286,1.4,4.4,3.365,3.1025,3,4650,5.8,11,-1.910129954,10.06080001,17.70833333,111.9493028,8,,,1999,126,1.126200399,S
1999-05-06,9:30,Pilings,Pilings,,FALSE,FALSE,FALSE,FALSE,FALSE,2400,89.30441286,1.4,4.4,3.365,3.1025,3,4650,5.8,11,-1.910129954,10.06080001,17.70833333,111.9493028,5,,,1999,126,1.126200399,N
1999-05-07,10:15,Brunswick Point,Brunswick Point,,FALSE,FALSE,FALSE,FALSE,FALSE,61000,99.52229299,1.43,4.3,3.295,3.024166667,2.87,4600,0.4,7.8,-18.58945953,-6.840402867,19.25,-164.5276272,3,,,1999,127,1.26667688,N
